Study Name	PremaTech_CVD_SiC_Heating_Trial_W_CoPremaTech_CVD_SiC_Heating_Wcoat
Sample Name	2025-05-14
Run Name	Heating_trial_250C
Operator	Keshav
Date	5/14/2025
Time	19:56
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	6
dt	50.000001E-12
time stamp (ms)	8:02:16 PM
	
Time	Amplitude
1.830000E-8	-7.074514E-4
1.835000E-8	-6.286557E-4
1.840000E-8	-5.892578E-4
1.845000E-8	-5.892578E-4
1.850000E-8	-5.961096E-4
1.855000E-8	-6.098132E-4
1.860000E-8	-6.474981E-4
1.865000E-8	-6.817571E-4
1.870000E-8	-6.920348E-4
1.875000E-8	-7.005996E-4
1.880000E-8	-7.348586E-4
1.885000E-8	-7.828212E-4
1.890000E-8	-8.307838E-4
1.895000E-8	-8.924500E-4
1.900000E-8	-9.609680E-4
1.905000E-8	-1.019208E-3
1.910000E-8	-1.063745E-3
1.915000E-8	-1.099717E-3
1.920000E-8	-1.130550E-3
1.925000E-8	-1.151105E-3
1.930000E-8	-1.157957E-3
1.935000E-8	-1.159670E-3
1.940000E-8	-1.159670E-3
1.945000E-8	-1.139115E-3
1.950000E-8	-1.098004E-3
1.955000E-8	-1.056893E-3
1.960000E-8	-1.019208E-3
1.965000E-8	-9.883752E-4
1.970000E-8	-9.746716E-4
1.975000E-8	-9.661068E-4
1.980000E-8	-9.575421E-4
1.985000E-8	-9.609680E-4
1.990000E-8	-9.900881E-4
1.995000E-8	-1.019208E-3
2.000000E-8	-1.032912E-3
2.005000E-8	-1.044903E-3
2.010000E-8	-1.062032E-3
2.015000E-8	-1.060319E-3
2.020000E-8	-1.032912E-3
2.025000E-8	-1.003792E-3
2.030000E-8	-9.746716E-4
2.035000E-8	-9.335608E-4
2.040000E-8	-8.838852E-4
2.045000E-8	-8.393485E-4
2.050000E-8	-7.965248E-4
2.055000E-8	-7.674046E-4
2.060000E-8	-7.776823E-4
2.065000E-8	-8.222190E-4
2.070000E-8	-8.736075E-4
2.075000E-8	-9.318478E-4
2.080000E-8	-9.900881E-4
2.085000E-8	-1.034625E-3
2.090000E-8	-1.077449E-3
2.095000E-8	-1.121985E-3
2.100000E-8	-1.152818E-3
2.105000E-8	-1.161383E-3
2.110000E-8	-1.156244E-3
2.115000E-8	-1.135689E-3
2.120000E-8	-1.103143E-3
2.125000E-8	-1.072310E-3
2.130000E-8	-1.048328E-3
2.135000E-8	-1.020921E-3
2.140000E-8	-1.002079E-3
2.145000E-8	-1.002079E-3
2.150000E-8	-1.002079E-3
2.155000E-8	-1.000366E-3
2.160000E-8	-1.003792E-3
2.165000E-8	-1.000366E-3
2.170000E-8	-1.003792E-3
2.175000E-8	-1.027773E-3
2.180000E-8	-1.065458E-3
2.185000E-8	-1.099717E-3
2.190000E-8	-1.137402E-3
2.195000E-8	-1.190503E-3
2.200000E-8	-1.228188E-3
2.205000E-8	-1.248744E-3
2.210000E-8	-1.272725E-3
2.215000E-8	-1.298419E-3
2.220000E-8	-1.308697E-3
2.225000E-8	-1.313836E-3
2.230000E-8	-1.332678E-3
2.235000E-8	-1.354946E-3
2.240000E-8	-1.344669E-3
2.245000E-8	-1.305271E-3
2.250000E-8	-1.243605E-3
2.255000E-8	-1.164809E-3
2.260000E-8	-1.072310E-3
2.265000E-8	-9.729586E-4
2.270000E-8	-8.753205E-4
2.275000E-8	-7.793953E-4
2.280000E-8	-6.868960E-4
2.285000E-8	-6.098132E-4
2.290000E-8	-5.549988E-4
2.295000E-8	-5.258787E-4
2.300000E-8	-5.241657E-4
2.305000E-8	-5.601377E-4
2.310000E-8	-6.320816E-4
2.315000E-8	-7.211550E-4
2.320000E-8	-8.016636E-4
2.325000E-8	-8.770334E-4
2.330000E-8	-9.404126E-4
2.335000E-8	-9.935140E-4
2.340000E-8	-1.043190E-3
2.345000E-8	-1.089439E-3
2.350000E-8	-1.125411E-3
2.355000E-8	-1.154531E-3
2.360000E-8	-1.181939E-3
2.365000E-8	-1.185364E-3
2.370000E-8	-1.171661E-3
