Study Name	PremaTech_CVD_SiC_Heating_Trial_W_CoPremaTech_CVD_SiC_Heating_Wcoat
Sample Name	2025-05-14
Run Name	Heating_trial_165C
Operator	Keshav
Date	5/14/2025
Time	19:15
Sign	POS
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	8
dt	50.000001E-12
time stamp (ms)	7:23:50 PM
	
Time	Amplitude
1.170000E-8	-1.113323E-4
1.175000E-8	-1.558690E-4
1.180000E-8	-2.106834E-4
1.185000E-8	-2.569331E-4
1.190000E-8	-2.809144E-4
1.195000E-8	-2.946180E-4
1.200000E-8	-3.014698E-4
1.205000E-8	-2.843403E-4
1.210000E-8	-2.380907E-4
1.215000E-8	-1.781374E-4
1.220000E-8	-1.147582E-4
1.225000E-8	-4.624024E-5
1.230000E-8	1.371301E-5
1.235000E-8	5.139791E-5
1.240000E-8	7.024036E-5
1.245000E-8	7.880511E-5
1.250000E-8	6.510151E-5
1.255000E-8	2.227776E-5
1.260000E-8	-3.082369E-5
1.265000E-8	-9.248990E-5
1.270000E-8	-1.644338E-4
1.275000E-8	-2.329518E-4
1.280000E-8	-2.843403E-4
1.285000E-8	-3.185993E-4
1.290000E-8	-3.357288E-4
1.295000E-8	-3.323029E-4
1.300000E-8	-3.168864E-4
1.305000E-8	-2.843403E-4
1.310000E-8	-2.363777E-4
1.315000E-8	-2.021187E-4
1.320000E-8	-1.832762E-4
1.325000E-8	-1.592949E-4
1.330000E-8	-1.301748E-4
1.335000E-8	-1.250359E-4
1.340000E-8	-1.267489E-4
1.345000E-8	-1.113323E-4
1.350000E-8	-9.591580E-5
1.355000E-8	-1.010546E-4
1.360000E-8	-1.181841E-4
1.365000E-8	-1.267489E-4
1.370000E-8	-1.318877E-4
1.375000E-8	-1.438784E-4
1.380000E-8	-1.627208E-4
1.385000E-8	-1.627208E-4
1.390000E-8	-1.404525E-4
1.395000E-8	-1.096194E-4
1.400000E-8	-8.049925E-5
1.405000E-8	-4.624024E-5
1.410000E-8	-1.883304E-5
1.415000E-8	-1.712009E-5
1.420000E-8	-3.082369E-5
1.425000E-8	-4.795319E-5
1.430000E-8	-7.707335E-5
1.435000E-8	-1.250359E-4
1.440000E-8	-1.764244E-4
1.445000E-8	-2.261000E-4
1.450000E-8	-2.843403E-4
1.455000E-8	-3.442936E-4
1.460000E-8	-3.939691E-4
1.465000E-8	-4.196634E-4
1.470000E-8	-4.196634E-4
1.475000E-8	-4.008209E-4
1.480000E-8	-3.648490E-4
1.485000E-8	-3.066087E-4
1.490000E-8	-2.415166E-4
1.495000E-8	-1.918410E-4
1.500000E-8	-1.541561E-4
1.505000E-8	-1.216100E-4
1.510000E-8	-1.164712E-4
1.515000E-8	-1.404525E-4
1.520000E-8	-1.644338E-4
1.525000E-8	-1.815633E-4
1.530000E-8	-2.123964E-4
1.535000E-8	-2.466554E-4
1.540000E-8	-2.586461E-4
1.545000E-8	-2.552202E-4
1.550000E-8	-2.535072E-4
1.555000E-8	-2.432295E-4
1.560000E-8	-2.141093E-4
1.565000E-8	-1.747115E-4
1.570000E-8	-1.353136E-4
1.575000E-8	-9.077695E-5
1.580000E-8	-4.624024E-5
1.585000E-8	-1.712009E-5
1.590000E-8	-1.198124E-5
1.595000E-8	-1.369419E-5
1.600000E-8	9.406904E-9
1.605000E-8	1.542596E-5
1.610000E-8	1.200006E-5
1.615000E-8	9.406904E-9
1.620000E-8	-6.842393E-6
1.625000E-8	-2.225894E-5
1.630000E-8	-5.309204E-5
1.635000E-8	-8.906400E-5
1.640000E-8	-1.164712E-4
1.645000E-8	-1.438784E-4
1.650000E-8	-1.678597E-4
1.655000E-8	-1.815633E-4
1.660000E-8	-1.952669E-4
1.665000E-8	-2.106834E-4
1.670000E-8	-2.243870E-4
1.675000E-8	-2.329518E-4
1.680000E-8	-2.226741E-4
1.685000E-8	-1.884151E-4
1.690000E-8	-1.558690E-4
1.695000E-8	-1.370266E-4
1.700000E-8	-1.233230E-4
1.705000E-8	-1.147582E-4
1.710000E-8	-1.216100E-4
1.715000E-8	-1.404525E-4
1.720000E-8	-1.524431E-4
1.725000E-8	-1.558690E-4
1.730000E-8	-1.455913E-4
1.735000E-8	-1.147582E-4
1.740000E-8	-6.850860E-5
1.745000E-8	-1.712009E-5
1.750000E-8	4.283316E-5
1.755000E-8	1.044994E-4
1.760000E-8	1.507490E-4
1.765000E-8	1.747303E-4
1.770000E-8	1.781562E-4
1.775000E-8	1.473231E-4
1.780000E-8	9.079576E-5
1.785000E-8	1.885186E-5
1.790000E-8	-7.536040E-5
1.795000E-8	-1.969798E-4
1.800000E-8	-3.237382E-4
1.805000E-8	-4.333670E-4
1.810000E-8	-5.224404E-4
1.815000E-8	-5.875325E-4
1.820000E-8	-6.149397E-4
1.825000E-8	-6.063749E-4
1.830000E-8	-5.669771E-4
1.835000E-8	-5.087368E-4
1.840000E-8	-4.282281E-4
1.845000E-8	-3.271641E-4
1.850000E-8	-2.346648E-4
1.855000E-8	-1.712856E-4
1.860000E-8	-1.284618E-4
1.865000E-8	-1.044805E-4
1.870000E-8	-1.164712E-4
1.875000E-8	-1.507302E-4
1.880000E-8	-1.901280E-4
1.885000E-8	-2.449425E-4
1.890000E-8	-3.203123E-4
1.895000E-8	-4.008209E-4
1.900000E-8	-4.676260E-4
1.905000E-8	-5.138756E-4
1.910000E-8	-5.292922E-4
1.915000E-8	-5.190145E-4
1.920000E-8	-4.967461E-4
1.925000E-8	-4.556353E-4
1.930000E-8	-3.956821E-4
1.935000E-8	-3.305900E-4
1.940000E-8	-2.774885E-4
1.945000E-8	-2.398036E-4
1.950000E-8	-2.243870E-4
1.955000E-8	-2.278130E-4
1.960000E-8	-2.517943E-4
1.965000E-8	-3.014698E-4
1.970000E-8	-3.562842E-4
1.975000E-8	-4.008209E-4
1.980000E-8	-4.316540E-4
1.985000E-8	-4.504965E-4
1.990000E-8	-4.470706E-4
1.995000E-8	-4.179504E-4
2.000000E-8	-3.768396E-4
2.005000E-8	-3.271641E-4
2.010000E-8	-2.740626E-4
2.015000E-8	-2.243870E-4
2.020000E-8	-1.781374E-4
2.025000E-8	-1.318877E-4
2.030000E-8	-8.221220E-5
2.035000E-8	-3.767549E-5
2.040000E-8	1.722357E-6
2.045000E-8	3.426841E-5
2.050000E-8	5.996266E-5
2.055000E-8	7.537921E-5
2.060000E-8	8.565691E-5
2.065000E-8	1.010735E-4
2.070000E-8	1.147771E-4
2.075000E-8	1.147771E-4
2.080000E-8	1.113512E-4
2.085000E-8	1.079253E-4
2.090000E-8	9.593461E-5
2.095000E-8	7.366626E-5
2.100000E-8	5.139791E-5
2.105000E-8	3.255546E-5
2.110000E-8	1.371301E-5
2.115000E-8	-1.198124E-5
2.120000E-8	-3.767549E-5
2.125000E-8	-5.823089E-5
2.130000E-8	-7.707335E-5
2.135000E-8	-9.420285E-5
2.140000E-8	-1.079064E-4
2.145000E-8	-1.147582E-4
2.150000E-8	-1.181841E-4
2.155000E-8	-1.216100E-4
2.160000E-8	-1.301748E-4
2.165000E-8	-1.507302E-4
2.170000E-8	-1.712856E-4
2.175000E-8	-1.781374E-4
2.180000E-8	-1.884151E-4
2.185000E-8	-2.106834E-4
2.190000E-8	-2.278130E-4
2.195000E-8	-2.295259E-4
2.200000E-8	-2.363777E-4
2.205000E-8	-2.483684E-4
2.210000E-8	-2.449425E-4
2.215000E-8	-2.278130E-4
2.220000E-8	-2.141093E-4
2.225000E-8	-2.021187E-4
2.230000E-8	-1.849892E-4
2.235000E-8	-1.661467E-4
2.240000E-8	-1.455913E-4
2.245000E-8	-1.216100E-4
2.250000E-8	-9.762875E-5
2.255000E-8	-7.193450E-5
2.260000E-8	-3.938844E-5
2.265000E-8	-1.026829E-5
2.270000E-8	5.148257E-6
2.275000E-8	1.713891E-5
2.280000E-8	2.741661E-5
2.285000E-8	1.200006E-5
2.290000E-8	-1.883304E-5
2.295000E-8	-3.938844E-5
2.300000E-8	-5.823089E-5
2.305000E-8	-9.248990E-5
2.310000E-8	-1.387395E-4
2.315000E-8	-1.815633E-4
2.320000E-8	-2.278130E-4
2.325000E-8	-2.620720E-4
2.330000E-8	-2.603590E-4
2.335000E-8	-2.380907E-4
2.340000E-8	-2.278130E-4
2.345000E-8	-2.175352E-4
2.350000E-8	-1.901280E-4
2.355000E-8	-1.678597E-4
2.360000E-8	-1.558690E-4
2.365000E-8	-1.318877E-4
2.370000E-8	-1.147582E-4
2.375000E-8	-1.250359E-4
2.380000E-8	-1.558690E-4
2.385000E-8	-1.935539E-4
2.390000E-8	-2.415166E-4
2.395000E-8	-3.014698E-4
2.400000E-8	-3.579972E-4
2.405000E-8	-4.076727E-4
