Study Name	PremaTech_CVD_SiC_1_Heating
Sample Name	2024-12-17
Run Name	spot04_400
Operator	Keshav
Date	12/17/2024
Time	18:24
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	11
dt	100.000001E-12
time stamp (ms)	6:35:31 PM
	
Time	Amplitude
5.410000E-8	2.298787E-3
5.420000E-8	2.261102E-3
5.430000E-8	2.262815E-3
5.440000E-8	2.403277E-3
5.450000E-8	2.545452E-3
5.460000E-8	2.715034E-3
5.470000E-8	2.886329E-3
5.480000E-8	2.994245E-3
5.490000E-8	2.989106E-3
5.500000E-8	2.936004E-3
5.510000E-8	2.874338E-3
5.520000E-8	2.821237E-3
5.530000E-8	2.774987E-3
5.540000E-8	2.745867E-3
5.550000E-8	2.711608E-3
5.560000E-8	2.672210E-3
5.570000E-8	2.646516E-3
5.580000E-8	2.581424E-3
5.590000E-8	2.526609E-3
5.600000E-8	2.531748E-3
5.610000E-8	2.598553E-3
5.620000E-8	2.718460E-3
5.630000E-8	2.805820E-3
5.640000E-8	2.903458E-3
5.650000E-8	2.910310E-3
5.660000E-8	2.900032E-3
5.670000E-8	2.860635E-3
5.680000E-8	2.824663E-3
5.690000E-8	2.829801E-3
5.700000E-8	2.857209E-3
5.710000E-8	2.910310E-3
5.720000E-8	2.925727E-3
5.730000E-8	2.956560E-3
5.740000E-8	2.946282E-3
5.750000E-8	2.865773E-3
5.760000E-8	2.696191E-3
5.770000E-8	2.564294E-3
5.780000E-8	2.463230E-3
5.790000E-8	2.416981E-3
5.800000E-8	2.406703E-3
5.810000E-8	2.401564E-3
5.820000E-8	2.372444E-3
5.830000E-8	2.293648E-3
5.840000E-8	2.185732E-3
5.850000E-8	2.105224E-3
5.860000E-8	2.101798E-3
5.870000E-8	2.194297E-3
5.880000E-8	2.365592E-3
5.890000E-8	2.543739E-3
5.900000E-8	2.665358E-3
5.910000E-8	2.721886E-3
5.920000E-8	2.721886E-3
5.930000E-8	2.636238E-3
5.940000E-8	2.488924E-3
5.950000E-8	2.331333E-3
5.960000E-8	2.141196E-3
5.970000E-8	2.021289E-3
5.980000E-8	2.004160E-3
5.990000E-8	2.120640E-3
6.000000E-8	2.307352E-3
6.010000E-8	2.499202E-3
6.020000E-8	2.569433E-3
6.030000E-8	2.454665E-3
6.040000E-8	2.221704E-3
6.050000E-8	1.987030E-3
6.060000E-8	1.853420E-3
6.070000E-8	1.930503E-3
6.080000E-8	2.149760E-3
6.090000E-8	2.440962E-3
6.100000E-8	2.739015E-3
6.110000E-8	2.879477E-3
6.120000E-8	2.910310E-3
6.130000E-8	2.855496E-3
6.140000E-8	2.754432E-3
6.150000E-8	2.656794E-3
6.160000E-8	2.562581E-3
