Study Name	PremaTech_CVD_SiC_1_Heating
Sample Name	2024-12-17
Run Name	spot04_300
Operator	Keshav
Date	12/17/2024
Time	17:55
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	100.000001E-12
time stamp (ms)	5:55:34 PM
	
Time	Amplitude
2.900000E-8	-1.954481E-3
2.910000E-8	-1.795176E-3
2.920000E-8	-1.577632E-3
2.930000E-8	-1.377217E-3
2.940000E-8	-1.288143E-3
2.950000E-8	-1.358374E-3
2.960000E-8	-1.562215E-3
2.970000E-8	-1.827723E-3
2.980000E-8	-2.050406E-3
2.990000E-8	-2.130915E-3
3.000000E-8	-2.069248E-3
3.010000E-8	-1.861982E-3
3.020000E-8	-1.627307E-3
3.030000E-8	-1.442309E-3
3.040000E-8	-1.363513E-3
3.050000E-8	-1.433744E-3
3.060000E-8	-1.567354E-3
3.070000E-8	-1.724946E-3
3.080000E-8	-1.875685E-3
3.090000E-8	-1.896241E-3
3.100000E-8	-1.839713E-3
3.110000E-8	-1.699251E-3
3.120000E-8	-1.553651E-3
3.130000E-8	-1.423466E-3
3.140000E-8	-1.366939E-3
3.150000E-8	-1.387494E-3
3.160000E-8	-1.438883E-3
3.170000E-8	-1.529669E-3
3.180000E-8	-1.575919E-3
3.190000E-8	-1.659853E-3
3.200000E-8	-1.690687E-3
3.210000E-8	-1.635872E-3
3.220000E-8	-1.524530E-3
3.230000E-8	-1.404624E-3
3.240000E-8	-1.353235E-3
3.250000E-8	-1.385781E-3
3.260000E-8	-1.502262E-3
3.270000E-8	-1.635872E-3
3.280000E-8	-1.730084E-3
3.290000E-8	-1.694112E-3
3.300000E-8	-1.531382E-3
3.310000E-8	-1.281291E-3
3.320000E-8	-1.072312E-3
3.330000E-8	-9.969417E-4
3.340000E-8	-1.072312E-3
3.350000E-8	-1.289856E-3
3.360000E-8	-1.548512E-3
3.370000E-8	-1.776334E-3
3.380000E-8	-1.889389E-3
3.390000E-8	-1.860269E-3
3.400000E-8	-1.759205E-3
3.410000E-8	-1.605039E-3
3.420000E-8	-1.524530E-3
3.430000E-8	-1.473142E-3
3.440000E-8	-1.483420E-3
3.450000E-8	-1.473142E-3
3.460000E-8	-1.416615E-3
3.470000E-8	-1.315550E-3
3.480000E-8	-1.224764E-3
3.490000E-8	-1.156246E-3
3.500000E-8	-1.149394E-3
3.510000E-8	-1.188792E-3
3.520000E-8	-1.284717E-3
3.530000E-8	-1.358374E-3
3.540000E-8	-1.433744E-3
3.550000E-8	-1.495410E-3
3.560000E-8	-1.541660E-3
3.570000E-8	-1.550225E-3
3.580000E-8	-1.502262E-3
3.590000E-8	-1.385781E-3
3.600000E-8	-1.202496E-3
3.610000E-8	-1.010645E-3
3.620000E-8	-8.804611E-4
3.630000E-8	-8.547669E-4
3.640000E-8	-9.198590E-4
3.650000E-8	-1.084302E-3
3.660000E-8	-1.279579E-3
3.670000E-8	-1.423466E-3
3.680000E-8	-1.483420E-3
3.690000E-8	-1.469716E-3
3.700000E-8	-1.409763E-3
3.710000E-8	-1.336106E-3
3.720000E-8	-1.294995E-3
3.730000E-8	-1.313838E-3
3.740000E-8	-1.390920E-3
3.750000E-8	-1.473142E-3
3.760000E-8	-1.562215E-3
3.770000E-8	-1.579345E-3
3.780000E-8	-1.529669E-3
3.790000E-8	-1.408050E-3
3.800000E-8	-1.250458E-3
3.810000E-8	-1.089441E-3
3.820000E-8	-1.002081E-3
3.830000E-8	-1.039765E-3
3.840000E-8	-1.192218E-3
3.850000E-8	-1.435457E-3
3.860000E-8	-1.670131E-3
3.870000E-8	-1.829435E-3
3.880000E-8	-1.829435E-3
3.890000E-8	-1.688974E-3
3.900000E-8	-1.409763E-3
3.910000E-8	-1.145968E-3
3.920000E-8	-9.044424E-4
3.930000E-8	-7.828230E-4
