Distance_(nm)	Gray_Value
61.547	3634.099
61.918	3625.388
62.289	3613.638
62.659	3614.814
63.030	3669.206
63.401	3647.947
63.772	3717.232
64.142	3777.106
64.513	3840.179
64.884	3906.331
65.255	3935.217
65.626	3977.920
65.996	3979.244
66.367	4042.413
66.738	4102.594
67.109	4138.403
67.479	4243.941
67.850	4308.203
68.221	4392.082
68.592	4424.783
68.962	4527.855
69.333	4614.247
69.704	4678.511
70.075	4722.343
70.445	4728.694
70.816	4817.114
71.187	4800.271
71.558	4885.098
71.929	4946.487
72.299	5063.505
72.670	5041.166
73.041	5096.515
73.412	5074.819
73.782	5129.481
74.153	5131.513
74.524	5140.695
74.895	5096.175
75.265	5150.974
75.636	5248.428
76.007	5317.341
76.378	5430.723
76.748	5504.076
77.119	5545.717
77.490	5563.297
77.861	5445.059
78.232	5368.804
78.602	5385.956
78.973	5387.639
79.344	5288.369
79.715	5348.188
80.085	5474.471
80.456	5505.201
80.827	5496.946
81.198	5528.223
81.568	5564.283
81.939	5610.604
82.310	5574.402
82.681	5584.906
83.051	5503.317
83.422	5538.687
83.793	5568.486
84.164	5579.797
84.535	5629.114
84.905	5570.033
85.276	5495.617
85.647	5421.090
86.018	5408.436
86.388	5493.354
86.759	5464.896
87.130	5524.315
87.501	5559.340
87.871	5531.711
88.242	5545.327
88.613	5537.271
88.984	5579.927
89.355	5566.027
89.725	5545.692
90.096	5569.939
90.467	5579.391
90.838	5597.358
91.208	5541.783
91.579	5431.850
91.950	5378.500
92.321	5376.638
92.691	5431.843
93.062	5504.422
93.433	5531.384
93.804	5518.958
94.174	5492.048
94.545	5362.369
94.916	5382.782
95.287	5485.542
95.658	5559.482
96.028	5628.543
96.399	5642.110
96.770	5607.730
97.141	5665.720
97.511	5577.606
97.882	5532.378
98.253	5441.101
98.624	5509.495
98.994	5586.395
99.365	5574.522
99.736	5553.548
100.107	5551.762
100.477	5526.846
100.848	5536.537
101.219	5520.336
101.590	5466.769
101.961	5490.639
102.331	5462.707
102.702	5513.672
103.073	5519.869
103.444	5499.188
103.814	5463.585
104.185	5473.610
104.556	5524.319
104.927	5624.384
105.297	5673.752
105.668	5806.233
106.039	5784.732
106.410	5729.795
106.780	5699.942
107.151	5587.868
107.522	5503.322
107.893	5453.117
108.264	5336.201
108.634	5418.329
109.005	5448.372
109.376	5526.192
109.747	5570.227
110.117	5584.555
110.488	5620.989
110.859	5495.695
111.230	5473.963
111.600	5457.347
111.971	5386.267
112.342	5522.693
112.713	5695.717
113.084	5733.667
113.454	5757.440
113.825	5771.075
114.196	5804.603
114.567	5624.954
114.937	5463.380
115.308	5523.979
115.679	5619.421
116.050	5699.891
116.420	5608.287
116.791	5583.300
117.162	5478.464
117.533	5380.228
117.903	5383.633
118.274	5415.214
118.645	5391.639
119.016	5445.749
119.387	5482.756
119.757	5581.592
120.128	5633.703
120.499	5592.875
120.870	5563.355
121.240	5501.155
121.611	5455.962
121.982	5567.114
